	Autor	GND	Geschlecht	Titel	Jahreszahl	Jahreszahl_Statistik	Gattung	Modul_Zeit	Modul_Sprache	Modul_KJL	LA Aachen 2018	Aachen 2017/18	Augsburg 2020	FU Berlin o.J.	Bochum o.J.	Braunschweig o.J.	Dortmund o.J.	Mannheim o.J.	Eichstätt-Ingolstadt 2007	Frankfurt a.M. o.J.	Gießen o.J.	Göttingen o.J.	Graz 2021	Heidelberg 2017	Hildesheim o.J.	Innsbruck o.J.	Innsbruck 2023	Jena 2018	Karlsruhe o.J.	Koblenz o.J.	Köln o.J.	Lausanne o.J.	Leipzig o.J.	Lüneburg o.J.	Luxemburg o.J.	Magdeburg 2020	München o.J.	Oldenburg 2020	Osnabrück o.J.	Passau o.J.	Potsdam 2022	Saarland 2007	Salzburg o.J.	Stuttgart o.J.	Stuttgart 2022	Trier o.J.	Tübingen o.J.	Wien o.J.	Wuppertal 2015	Würzburg 2003/04	Würzburg 2019	Zürich 2013	Dekade	Jahrhundert
0	(Pfaffe Konrad)	https://d-nb.info/gnd/118565060	m	Rolandslied	12./13. Jh.	1172.0		MA			0.0	0.0	0.0	0.0	0.0	0.45454545454545453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1170.0	1100.0
1	$Arthur Quiller-Couch, Arthur	https://d-nb.info/gnd/118787500		The Oxford Book of English Verse	1901		Lyrik		International		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4166666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
2	$Bahr, Ehrhard (Hg.)	https://d-nb.info/gnd/130674966		Was ist Aufklärung? Thesen und Definitionen	1974	1974.0	Poetik / Essayistik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
3	$Beers, Anna (Hg.)	https://d-nb.info/gnd/1023005093		Frauen / Lyrik. Gedichte in deutscher Sprache 	2020	2020.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2020.0	2000.0
4	$Behrens, Katja (Hg.)	https://d-nb.info/gnd/124718124		Frauenbriefe der Romantik	1982	1982.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
5	$Bender, Hans (Hg.)	https://d-nb.info/gnd/118508849		Deutsche Gedichte: 1930-1960	1983	1983.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
6	$Best, Otto F. (Hg.)	https://d-nb.info/gnd/116155086		Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 14	1918	1918.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1910.0	1900.0
7	$Best, Otto F. (Hg.)	https://d-nb.info/gnd/116155086		Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 5	1748	1748.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1740.0	1700.0
8	$Best, Otto F. (Hg.)	https://d-nb.info/gnd/116155086		Theorie des Expressionismus	1986	1986.0	Poetik / Essayistik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
9	$Bode, Dietrich (Hg.)	https://d-nb.info/gnd/116215305		Deutsche Gedichte. Eine Anthologie	2010	2010.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2010.0	2000.0
10	$Bohnen, Klaus (Hg.)	https://d-nb.info/gnd/105602671		Gedichte des 18. Jahrhunderts, etwa: Deutsche Gedichte des 18. Jahrhunderts. Hg. von Klaus Bohnen. Stuttgart 2987.			Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0		
11	$Brode, Hanspeter (Hg.)	https://d-nb.info/gnd/171990870		Deutsche Lyrik. Eine Anthologie.	1990	1990.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1265822785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1990.0	1900.0
12	$Conrady, Karl Otto (Hg.)	https://d-nb.info/gnd/115851755		Das Buch der Gedichte	1997 (Nachdr.)		Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
13	$Conrady, Karl Otto (Hg.)	https://d-nb.info/gnd/115851755		Der Neue Conrady	2000	2000.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1265822785	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2000.0	2000.0
14	$Denkler, Horst (Hg.)	https://d-nb.info/gnd/116072628		"
Einakter und kleine Dramen des Expressionismus"	1968	1968.0	Drama				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.0	1900.0
15	$Detering, Heinrich (Hg.)	https://d-nb.info/gnd/120309297		Reclams großes Buch der deutschen Gedichte	2007	2007.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.0	2000.0
16	$Doktor, Wolfgang/Sauder, Gerhard (Hg.)	https://d-nb.info/gnd/108418812 + https://d-nb.info/gnd/129568961		Empfindsamkeit. Theoretische und kritische Texte	1992	1992.0	Poetik / Essayistik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1990.0	1900.0
17	$Elm, Theo (Hg.)	https://d-nb.info/gnd/107911213		Lyrik der neunziger Jahre	2000	2000.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.0	2000.0
18	$Emmerich, Wolfgang/Heil, Susanne (Hg.)	https://d-nb.info/gnd/116470925 + https://d-nb.info/gnd/119733937X		Lyrik des Exils	1985	1985.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
19	$Engels, Hans-Werner (Hg.)	https://d-nb.info/gnd/115527842		Gedichte und Lieder deutscher Jakobiner	18. Jh. 	1794.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1790.0	1700.0
20	$Enzensberger, Hans Magnus (Hg.)	https://d-nb.info/gnd/118530534		Kursbuch 15	1968	1968.0	Poetik / Essayistik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.0	1900.0
21	$Enzensberger, Hans Magnus (Hg.)	https://d-nb.info/gnd/118530534		Kursbuch 47	1977	1977.0	Poetik / Essayistik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
22	$Fischetti, Renate (Hg.)	https://d-nb.info/gnd/172076064		Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 4	1650	1650.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1650.0	1600.0
23	$Frederiksen, Elke (Hg.)	https://d-nb.info/gnd/1076412637		Die Frauenfrage in Deutschland 1865-1915 : Texte und Dokumente	1981	1981.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
24	$Frühwald, Wolfgang (Hg.)	https://d-nb.info/gnd/115683070		Gedichte der Romantik	2001	2001.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2000.0	2000.0
25	$Frühwald, Wolfgang (Hg.)	https://d-nb.info/gnd/115683070		Lyrik der Romantik, etwa: Gedichte der Romantik. Hg. von Wolfgang Frühwald. Stuttgart 1984.			Lyrik				0.0	0.0	0.0	0.0	0.0	0.23809523809523808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0		
26	$Gomringer, Eugen (Hg.)	https://d-nb.info/gnd/11869636X		Konkrete Poesie. Deutschsprachige Autoren	1972	1972.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
27	$Graeb-Könneker, Sebastian (Hg.)	https://d-nb.info/gnd/174082770		Literatur im Dritten Reich	2001	2001.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.0	2000.0
28	$Grubmüller, Klaus (Hg.)	https://d-nb.info/gnd/129328472		Novellistik des Mittelalters	2010	2010.0	Prosa				0.5	0.33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2010.0	2000.0
29	$Hay, Gerhard / v. Steinsdorff, Sibylle (Hg.)	https://d-nb.info/gnd/106773801 + http://d-nb.info/gnd/120072106		Deutsche Lyrik vom Barock bis zur Gegenwart. Hg. von Gerhard Hay und Sibylle von Steinsdorff. München 1992.			Lyrik				0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1265822785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
30	$Hermand, Jost (Hg.)	https://d-nb.info/gnd/119335514		Das junge Deutschland. Texte und Dokumente	1998	1998.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1990.0	1900.0
31	$Hermand, Jost (Hg.)	https://d-nb.info/gnd/119335514		Deutscher Vormärz. Texte und Dokumente	1998	1998.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1990.0	1900.0
32	$Höllerer, Walter (Hg.)	https://d-nb.info/gnd/11855199X	m	Transit. Lyrikbuch der Jahrhundertmitte	1956	1956.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.2777777777777778	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1950.0	1900.0
33	$Kaiser, Gerhard R. (Hg.)	https://d-nb.info/gnd/122677153		Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 16	1969	1969.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.0	1900.0
34	$Kaiser, Gerhard R. (Hg.)	https://d-nb.info/gnd/122677153		Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 17	1980	1980.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
35	$Karthaus, Ulrich (Hg.)	https://d-nb.info/gnd/105968463		Deutsche Literatur. Ein Abriss in Text und Darstellung. Bd. 6	1763	1763.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1760.0	1700.0
36	$Kiedaisch, Petra (Hg.)	https://d-nb.info/gnd/115524428		Lyrik nach Auschwitz?	1995	1995.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1990.0	1900.0
37	$Killy, Walther (Hg.)	https://d-nb.info/gnd/116171650		Deutsche Lyrik von den Anfängen bis zur Gegenwart. 	2001	2001.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1265822785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.0	2000.0
38	$Killy, Walther (Hg.)	https://d-nb.info/gnd/116171650		Die Deutsche Literatur. Texte und Zeugnisse. Bd. 4: Das 18. Jahrhundert	1983	1983.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
39	$Kimmich, Dorothee	https://d-nb.info/gnd/124680755		Texte zur Literaturtheorie der Gegenwart	2003	2003.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2000.0	2000.0
40	$Kling, Thomas (Hg.)	https://d-nb.info/gnd/121401030		"Sprachspeicher. 200 Gedichte auf deutsch vom achten bis
zum zwanzigsten Jahrhundert"	2001	2001.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2000.0	2000.0
41	$Koch, Hans J. (Hg.)	https://d-nb.info/gnd/13792903X		(alles in: Die deutsche Literatur in Text und Darstellung. Mittelalter 1, RUB 9601)	9./10. Jh.		Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0		
42	$Kreuzer, Helmut (Hg.)	https://d-nb.info/gnd/118832816		Deutsche Gedichte zwischen 1918 und 1933	1999	1999.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1990.0	1900.0
43	$Lanczkowski, Johanna (Hg.)			Erhebe dich, meine Seele. Mystische Texte des Mittelalters	1988	1988.0		MA			0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
44	$Lange, Katrin/Zapf, Nora (Hg.)	https://d-nb.info/gnd/136013139 + https://d-nb.info/gnd/1080156755		Screen Shots. Literatur im Netz	2019	2019.0	Sonstiges				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2010.0	2000.0
45	$Lindemann, Gisela (Hg.)	https://d-nb.info/gnd/117015954		Epochen der deutschen Lyrik. 1900-1960	1974	1974.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
46	$Loewenthal, Erich (Hg.)	https://d-nb.info/gnd/102183104		Sturm und Drang. Kritische Schriften	1949	1949.0	Poetik / Essayistik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1940.0	1900.0
47	$Loewenthal, Erich/Schneider, Lambert (Hg.)	https://d-nb.info/gnd/102183104 + https://d-nb.info/gnd/116829672		Sturm und Drang. Dramatische Schriften	1958	1958.0	Drama				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1950.0	1900.0
48	$Maché, Ulrich/Meid, Volker (Hg.)	https://d-nb.info/gnd/172242894 + https://d-nb.info/gnd/123263018		Gedichte des Barock	1980	1980.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.45454545454545453	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1980.0	1900.0
49	$Mahal, Günther (Hg.)	https://d-nb.info/gnd/116679530		Lyrik der Gründerzeit	1973	1973.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
50	$Malsch, Gabriele (Hg.)	https://d-nb.info/gnd/1288804067		Gedichte des Sturm und Drang und der Klassik	1997	1997.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1990.0	1900.0
51	$Martini, Fritz (Hg.)	https://d-nb.info/gnd/118731378		Prosa des Expressionismus	1970	1970.0	Prosa				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
