	Autor	GND	Geschlecht	Titel	Jahreszahl	Jahreszahl_Statistik	Gattung	Modul_Zeit	Modul_Sprache	Modul_KJL	LA Aachen 2018	Aachen 2017/18	Augsburg 2020	FU Berlin o.J.	Bochum o.J.	Braunschweig o.J.	Dortmund o.J.	Mannheim o.J.	Eichstätt-Ingolstadt 2007	Frankfurt a.M. o.J.	Gießen o.J.	Göttingen o.J.	Graz 2021	Heidelberg 2017	Hildesheim o.J.	Innsbruck o.J.	Innsbruck 2023	Jena 2018	Karlsruhe o.J.	Koblenz o.J.	Köln o.J.	Lausanne o.J.	Leipzig o.J.	Lüneburg o.J.	Luxemburg o.J.	Magdeburg 2020	München o.J.	Oldenburg 2020	Osnabrück o.J.	Passau o.J.	Potsdam 2022	Saarland 2007	Salzburg o.J.	Stuttgart o.J.	Stuttgart 2022	Trier o.J.	Tübingen o.J.	Wien o.J.	Wuppertal 2015	Würzburg 2003/04	Würzburg 2019	Zürich 2013	Dekade	Jahrhundert
2206	Rückert, Friedrich	https://d-nb.info/gnd/118603817	m	Gedichte		1827.0	Lyrik				0.0	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1820.0	1800.0
2207	Rückert, Friedrich	https://d-nb.info/gnd/118603817	m	Kindertodtenlieder	1872	1872.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0710126788768115	0.0	0.0	0.0	0.0	0.0	0.0	1870.0	1800.0
2208	Ruge, Eugen	https://d-nb.info/gnd/142549940	m	In Zeiten des abnehmenden Lichts	2011	2011.0	Prosa				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14285714285714285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2010.0	2000.0
2209	Rühm, Gerhard	https://d-nb.info/gnd/118603930	m	Gedichte	20. Jh.	1976.0	Lyrik				0.055	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.10344827586206896	0.0	0.0	0.0	0.0	1970.0	1900.0
2210	Rühm, Gerhard	https://d-nb.info/gnd/118603930	m	um zwöf uhr ist es sommer	1950	1950.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1950.0	1900.0
2211	Rühmkorf, Peter	https://d-nb.info/gnd/118603957	m	agar agar - zaurzaurim. Zur Naturgeschichte des Reims und der menschlichen Anklangsnerven	1981	1981.0	Poetik / Essayistik				0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	1980.0	1900.0
2212	Rühmkorf, Peter	https://d-nb.info/gnd/118603957	m	Das lyrische Weltbild der Nachkriegsdeutschen	1962	1962.0	Poetik / Essayistik				0.045	0.0714285714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.0	1900.0
2213	Rühmkorf, Peter	https://d-nb.info/gnd/118603957	m	Gedichte	20. Jh.	1969.0	Lyrik				0.0	0.11	0.0	0.0	0.0	0.2777777777777778	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.041666666666666664	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1960.0	1900.0
2214	Rühmkorf, Peter	https://d-nb.info/gnd/118603957	m	Haltbar bis Ende 1999	1979	1979.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0316120957645161	0.0	0.0	0.0	0.0	0.0	0.0	1970.0	1900.0
2215	Rühmkorf, Peter	https://d-nb.info/gnd/118603957	m	Irdisches Vergnügen in g	1959	1959.0	Lyrik				0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0316120957645161	0.0	0.0	0.0	0.0	0.0	0.0	1950.0	1900.0
